artwork_id,image_id,date,series,title_fr,title_en,title_lang,medium,support,width_cm,height_cm,width_in,height_in,tags,show,favorite,guardian,guardian_kind,display_location,display_url,display_until,available_from,availability_details,notes,extra_credits,license_name,license_url,original_url
mj-20220403-2,img-20220403-2,2022-04-03,,vue sur mer,Ocean View,en,acrylic on canvas,canvas,,,8,8,painting,1,0,Martin Jambon,artist,,,,2022-04-03,,,,,,
mj-20220403-1,img-20220403-1,2022-04-03,,parasites,Parasites,en,acrylic on canvas,canvas,,,8,8,painting,1,0,Martin Jambon,artist,,,,2022-04-03,,,,,,
mj-20220401-6,img-20220401-6,2022-04-01,,ce qui reste de l’Amérique,What’s Left of America,en,photography,,,,,,ephemeral,1,0,nobody,ephemeral,,,,,,,,,,
mj-20220401-5,img-20220401-5,2022-04-01,,orage,Rainstorm,en,charcoal pencil on paper,paper,,,12,9,monochrome,1,0,Martin Jambon,artist,,,,2022-04-01,,,,,,
mj-20220401-4,img-20220401-4,2022-04-01,,joue avec ta nourriture,Play with your Food,en,acrylic marker on black paper,paper,29.7,21,,,,1,1,Martin Jambon,artist,,,,2022-04-01,,,,,,
mj-20220401-3,img-20220401-3,2022-04-01,ser-20220320,rassemblement,Gathering,en,acrylic marker on brown paper,paper,29.7,21,,,monochrome,1,0,Martin Jambon,artist,,,,2022-04-01,,,,,,
mj-20220401-2,img-20220401-2,2022-04-01,ser-20220320,bubble gum,Bubble Gum,en,acrylic marker on white paper,paper,29.7,21,,,monochrome,1,0,Martin Jambon,artist,,,,2022-04-01,,,,,,
mj-20220401-1,img-20220401-1,2022-04-01,ser-20220320,,Jenny Was a Friend of Conifers,en,acrylic marker on white paper,paper,,,12,9,monochrome,1,0,Martin Jambon,artist,,,,2022-04-01,,,,,,
mj-20220330,img-20220330,2022-03-30,ser-20220320,influence,Influence,en,acrylic marker on brown paper,paper,29.7,21,,,monochrome,1,1,Martin Jambon,artist,,,,2022-03-30,,,,,,
mj-20220329,img-20220329,2022-03-29,,la vie à la campagne,Country Life,en,acrylic marker on black paper,paper,21,29.7,,,,1,0,Martin Jambon,artist,,,,2022-03-29,,,,,,
mj-20220322-2,img-20220322-2,2022-03-22,ser-20220305,soleil patatoïde terrifiant,,fr,acrylic marker on black paper,paper,29.7,21,,,,1,1,Martin Jambon,artist,,,,2022-03-22,,,,,,
mj-20220322-1,img-20220322-1,2022-03-22,,menaces multiples,Multiple Threats,en,acrylic marker on paper,paper,29.7,21,,,,0,0,Martin Jambon,artist,,,,2022-03-22,,,,,,
mj-20220320-2,img-20220320-2,2022-03-20,ser-20220305,floraison,In Bloom,en,acrylic marker on brown paper,paper,29.7,21,,,,1,0,Martin Jambon,artist,,,,2022-03-20,,,,,,
mj-20220320-1,img-20220320-1,2022-03-20,ser-20220320,incrusté dans l'espace-temps,Embedded in Spacetime,en,acrylic marker on brown paper,paper,29.7,21,,,monochrome,1,1,Martin Jambon,artist,,,,2022-03-20,,,,,,
mj-20220317,img-20220317,2022-03-17,,l'ennui,Boredom,en,acrylic marker on black paper,paper,21,29.7,,,,1,1,Martin Jambon,artist,,,,2022-03-17,,,,,,
mj-20220313,img-20220313,2022-03-13,ser-20220212,propagande,Propaganda,en,acrylic on canvas,canvas,,,14,11,painting,1,0,Martin Jambon,artist,,,,2022-03-13,,,,,,
mj-20220312-7,img-20220312-7,2022-03-12,,,,,charcoal and acrylic,paper,29.7,21,,,,1,0,Martin Jambon,artist,,,,2022-03-12,,The date is approximate,,,,
mj-20220312-6,img-20220312-6,2022-03-12,,,,,charcoal pencil on paper,paper,21,27,,,"charcoal,portrait,monochrome",0,0,Martin Jambon,artist,,,,2022-03-12,,The date is approximate,,,,
mj-20220312-5,img-20220312-5,2022-03-12,,,,,charcoal pencil on paper,paper,18,24,,,"charcoal,portrait,monochrome",0,0,Martin Jambon,artist,,,,2022-03-12,,The date is approximate,,,,
mj-20220312-4,img-20220312-4,2022-03-12,,portrait d’un rêveur,Portrait of a Dreamer,en,charcoal pencil on paper,paper,21,29.7,,,"charcoal,portrait,monochrome",1,0,Martin Jambon,artist,,,,2022-03-12,,,,,,
mj-20220312-3,img-20220312-3,2022-03-12,,Alice Jambon,Alice Jambon,en,charcoal pencil on paper,paper,21,29.7,,,"charcoal,portrait,monochrome",1,0,Martin Jambon,artist,,,,2022-03-12,,,,,,
mj-20220312-2,img-20220312-2,2022-03-12,,portrait d’une fille,Portrait of a Girl,en,charcoal pencil on paper,paper,21,29.7,,,"charcoal,portrait,monochrome",1,0,Martin Jambon,artist,,,,2022-03-12,,,,,,
mj-20220312-1,img-20220312-1,2022-03-12,,un homme vulnérable,Vulnerable Man,en,charcoal pencil on paper,paper,21,29.7,,,"charcoal,portrait,monochrome",1,0,Martin Jambon,artist,,,,2022-03-12,,,,,,
mj-20220309,img-20220309,2022-03-09,ser-20220305,,,,acrylic marker on brown paper,paper,29.7,21,,,,1,0,Martin Jambon,artist,,,,2022-03-09,,The date is approximate,,,,
mj-20220305-3,img-20220305-3,2022-03-05,ser-20220305,,,,acrylic marker on brown paper,paper,29.7,21,,,,1,0,Martin Jambon,artist,,,,2022-03-05,,,,,,
mj-20220305-2,img-20220305-2,2022-03-05,ser-20220305,au milieu du ciel,Midair,en,acrylic marker on brown paper,paper,29.7,21,,,,1,1,Martin Jambon,artist,,,,2022-03-05,,,,,,
mj-20220305-1,img-20220305-1,2022-03-05,,,,,acrylic marker on paper,paper,29.7,21,,,,0,0,Martin Jambon,artist,,,,2022-03-05,,,,,,
mj-20220226,img-20220226,2022-02-26,ser-20220212,la guerre,War,en,acrylic on canvas,canvas,,,14,11,painting,1,1,Martin Jambon,artist,,,,2022-02-26,,,,,,
